评论内容_clean,tokens_jieba,text_clean_jieba,tokens_char,text_clean_char,类别,attributes
质量很好正要使用。,"[""质量"", ""很"", ""好"", ""正要"", ""使用""]",质量 很 好 正要 使用,"[""质"", ""量"", ""很"", ""好"", ""正"", ""使""]",质 量 很 好 正 使,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""质量"", ""polarity"": 1}]"
下了订单第十天才收到虽然等的有点辛苦收到以后还是蛮兴奋的装裱精美古典风味只是纸质有点不佳不过尚无文字性错误不影响阅读。建议作为图书专业网的卓越亚马逊能够安排一下让发货稍微迅速一些。期待,"[""下"", ""订单"", ""第十天"", ""才"", ""收到"", ""有点"", ""辛苦"", ""收到"", ""以后"", ""蛮"", ""兴奋"", ""装裱"", ""精美"", ""古典"", ""风味"", ""纸质"", ""有点"", ""不佳"", ""尚无"", ""文字"", ""性"", ""错误"", ""不"", ""影响"", ""阅读"", ""建议"", ""图书"", ""专业"", ""网"", ""卓越"", ""亚马逊"", ""能够"", ""安排"", ""一下"", ""发货"", ""稍微"", ""迅速"", ""期待""]",下 订单 第十天 才 收到 有点 辛苦 收到 以后 蛮 兴奋 装裱 精美 古典 风味 纸质 有点 不佳 尚无 文字 性 错误 不 影响 阅读 建议 图书 专业 网 卓越 亚马逊 能够 安排 一下 发货 稍微 迅速 期待,"[""下"", ""订"", ""单"", ""十"", ""天"", ""才"", ""收"", ""然"", ""点"", ""辛"", ""苦"", ""收"", ""后"", ""还"", ""蛮"", ""兴"", ""奋"", ""装"", ""裱"", ""精"", ""美"", ""古"", ""典"", ""风"", ""味"", ""只"", ""纸"", ""质"", ""点"", ""不"", ""佳"", ""不"", ""尚"", ""无"", ""文"", ""字"", ""性"", ""错"", ""误"", ""不"", ""影"", ""响"", ""阅"", ""读"", ""建"", ""议"", ""作"", ""图"", ""书"", ""专"", ""业"", ""网"", ""卓"", ""越"", ""亚"", ""马"", ""逊"", ""够"", ""安"", ""排"", ""下"", ""发"", ""货"", ""稍"", ""微"", ""迅"", ""速"", ""些"", ""期""]",下 订 单 十 天 才 收 然 点 辛 苦 收 后 还 蛮 兴 奋 装 裱 精 美 古 典 风 味 只 纸 质 点 不 佳 不 尚 无 文 字 性 错 误 不 影 响 阅 读 建 议 作 图 书 专 业 网 卓 越 亚 马 逊 够 安 排 下 发 货 稍 微 迅 速 些 期,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""包装"", ""polarity"": 1}]"
以前自己装修的时候就买欧司朗的当时每只节能灯包装还保2年现在的也没有了秒杀的价格和9块多一只还是挺划算的很好。,"[""以前"", ""装修"", ""买"", ""欧司朗"", ""当时"", ""只"", ""节能灯"", ""包装"", ""还保"", ""2"", ""年"", ""现在"", ""没有"", ""秒杀"", ""价格"", ""9"", ""块"", ""一只"", ""挺"", ""划算"", ""很"", ""好""]",以前 装修 买 欧司朗 当时 只 节能灯 包装 还保 2 年 现在 没有 秒杀 价格 9 块 一只 挺 划算 很 好,"[""前"", ""装"", ""修"", ""时"", ""候"", ""买"", ""欧"", ""司"", ""朗"", ""时"", ""只"", ""节"", ""灯"", ""包"", ""装"", ""还"", ""保"", ""2"", ""年"", ""现"", ""没"", ""秒"", ""杀"", ""价"", ""格"", ""9"", ""块"", ""只"", ""还"", ""挺"", ""划"", ""算"", ""很"", ""好""]",前 装 修 时 候 买 欧 司 朗 时 只 节 灯 包 装 还 保 2 年 现 没 秒 杀 价 格 9 块 只 还 挺 划 算 很 好,"[{""类别"": ""家具/家装/建材"", ""类别ID"": 8}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
买来考研用的虽然还没看过但书的质量不错。,"[""买来"", ""考研"", ""还"", ""没"", ""看过"", ""但书"", ""质量"", ""不错""]",买来 考研 还 没 看过 但书 质量 不错,"[""买"", ""考"", ""研"", ""然"", ""还"", ""没"", ""看"", ""书"", ""质"", ""量"", ""不"", ""错""]",买 考 研 然 还 没 看 书 质 量 不 错,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""质量"", ""polarity"": 1}]"
非常喜欢的作家质量不错,"[""非常"", ""喜欢"", ""作家"", ""质量"", ""不错""]",非常 喜欢 作家 质量 不错,"[""非"", ""常"", ""喜"", ""欢"", ""作"", ""家"", ""质"", ""量"", ""不"", ""错""]",非 常 喜 欢 作 家 质 量 不 错,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""质量"", ""polarity"": 1}]"
还不错。买了之后。帮朋友也买了几个。性价比高...... 外形什么的都不错....女孩子用也很好.赞一个。,"[""还"", ""不错"", ""买"", ""之后"", ""帮"", ""朋友"", ""买"", ""几个"", ""性价比"", ""高"", ""外形"", ""都"", ""不错"", ""...."", ""女孩子"", ""很"", ""好"", ""."", ""赞""]",还 不错 买 之后 帮 朋友 买 几个 性价比 高 外形 都 不错 .... 女孩子 很 好 . 赞,"[""还"", ""不"", ""错"", ""买"", ""后"", ""帮"", ""朋"", ""友"", ""买"", ""性"", ""价"", ""高"", ""外"", ""形"", ""什"", ""都"", ""不"", ""错"", ""女"", ""孩"", ""子"", ""很"", ""好"", ""赞""]",还 不 错 买 后 帮 朋 友 买 性 价 高 外 形 什 都 不 错 女 孩 子 很 好 赞,"[{""类别"": ""手机/数码"", ""类别ID"": 2}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
孩子很喜欢的书质量好,"[""孩子"", ""很"", ""喜欢"", ""书"", ""质量"", ""好""]",孩子 很 喜欢 书 质量 好,"[""孩"", ""子"", ""很"", ""喜"", ""欢"", ""书"", ""质"", ""量"", ""好""]",孩 子 很 喜 欢 书 质 量 好,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""质量"", ""polarity"": 1}]"
价格合适东西的容量还是可以的够2个人了,"[""价格"", ""合适"", ""东西"", ""容量"", ""够"", ""2"", ""个人""]",价格 合适 东西 容量 够 2 个人,"[""价"", ""格"", ""合"", ""适"", ""东"", ""西"", ""容"", ""量"", ""还"", ""够"", ""2"", ""人""]",价 格 合 适 东 西 容 量 还 够 2 人,"[{""类别"": ""家居生活"", ""类别ID"": 5}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
价格实惠肉容比较多蛮有启发性的.喜欢,"[""价格"", ""实惠"", ""肉容"", ""比较"", ""多蛮"", ""启发性"", ""."", ""喜欢""]",价格 实惠 肉容 比较 多蛮 启发性 . 喜欢,"[""价"", ""格"", ""实"", ""惠"", ""肉"", ""容"", ""蛮"", ""启"", ""发"", ""性"", ""喜"", ""欢""]",价 格 实 惠 肉 容 蛮 启 发 性 喜 欢,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
不错很好看的书适合小朋友。,"[""不错"", ""很"", ""好看"", ""书"", ""适合"", ""小朋友""]",不错 很 好看 书 适合 小朋友,"[""不"", ""错"", ""很"", ""好"", ""看"", ""书"", ""适"", ""合"", ""小"", ""朋"", ""友""]",不 错 很 好 看 书 适 合 小 朋 友,"[{""类别"": ""母婴/玩具"", ""类别ID"": 7}]","[{""aspect"": ""外观"", ""polarity"": 1}]"
今天中午拿到的书的质量不错。整本书的归类总结很好非常方便使用。还有就是快递叔叔很辛苦在大热天还能及时送到。总之各方面都很好推荐,"[""今天"", ""中午"", ""拿到"", ""书"", ""质量"", ""不错"", ""整本书"", ""归类"", ""总结"", ""很"", ""好"", ""非常"", ""方便使用"", ""快递"", ""叔叔"", ""很"", ""辛苦"", ""大热天"", ""还"", ""及时"", ""送到"", ""方面"", ""都"", ""很"", ""好"", ""推荐""]",今天 中午 拿到 书 质量 不错 整本书 归类 总结 很 好 非常 方便使用 快递 叔叔 很 辛苦 大热天 还 及时 送到 方面 都 很 好 推荐,"[""今"", ""天"", ""中"", ""午"", ""书"", ""质"", ""量"", ""不"", ""错"", ""整"", ""书"", ""类"", ""总"", ""结"", ""很"", ""好"", ""非"", ""常"", ""方"", ""便"", ""使"", ""还"", ""快"", ""递"", ""叔"", ""叔"", ""很"", ""辛"", ""苦"", ""大"", ""热"", ""天"", ""还"", ""时"", ""送"", ""总"", ""方"", ""面"", ""都"", ""很"", ""好"", ""推"", ""荐""]",今 天 中 午 书 质 量 不 错 整 书 类 总 结 很 好 非 常 方 便 使 还 快 递 叔 叔 很 辛 苦 大 热 天 还 时 送 总 方 面 都 很 好 推 荐,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""质量"", ""polarity"": 1}]"
有时间好好看看洋人是怎么混的。,"[""时间"", ""好好"", ""看看"", ""洋人"", ""混""]",时间 好好 看看 洋人 混,"[""时"", ""间"", ""好"", ""好"", ""看"", ""看"", ""洋"", ""人"", ""混""]",时 间 好 好 看 看 洋 人 混,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""外观"", ""polarity"": 1}]"
经济划算比超市便宜一点。,"[""经济"", ""划算"", ""超市"", ""便宜"", ""一点""]",经济 划算 超市 便宜 一点,"[""济"", ""划"", ""算"", ""超"", ""市"", ""便"", ""宜"", ""点""]",济 划 算 超 市 便 宜 点,"[{""类别"": ""家居生活"", ""类别ID"": 5}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
整体感觉还是不错的就是有一点异味如果能便宜一些就更好了。,"[""整体"", ""感觉"", ""不错"", ""一点"", ""异味"", ""便宜"", ""更好""]",整体 感觉 不错 一点 异味 便宜 更好,"[""整"", ""体"", ""感"", ""觉"", ""还"", ""不"", ""错"", ""点"", ""异"", ""味"", ""果"", ""便"", ""宜"", ""些"", ""更"", ""好""]",整 体 感 觉 还 不 错 点 异 味 果 便 宜 些 更 好,"[{""类别"": ""家居生活"", ""类别ID"": 5}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
速度很快 物有所值 好东西,"[""速度"", ""很快"", ""物有所值"", ""好"", ""东西""]",速度 很快 物有所值 好 东西,"[""速"", ""度"", ""很"", ""快"", ""物"", ""值"", ""好"", ""东"", ""西""]",速 度 很 快 物 值 好 东 西,"[{""类别"": ""电脑/办公"", ""类别ID"": 1}]","[{""aspect"": ""物流"", ""polarity"": 1}]"
昨天下午拍的下午就收到了真是快书质量不错我要好好研究这本书了,"[""昨天下午"", ""拍"", ""下午"", ""收到"", ""真是"", ""快书"", ""质量"", ""不错"", ""我要"", ""好好"", ""研究"", ""本书""]",昨天下午 拍 下午 收到 真是 快书 质量 不错 我要 好好 研究 本书,"[""昨"", ""天"", ""下"", ""午"", ""拍"", ""下"", ""午"", ""收"", ""真"", ""快"", ""书"", ""质"", ""量"", ""不"", ""错"", ""好"", ""好"", ""研"", ""究"", ""书""]",昨 天 下 午 拍 下 午 收 真 快 书 质 量 不 错 好 好 研 究 书,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""质量"", ""polarity"": 1}]"
质量不错内容正在学习,"[""质量"", ""不错"", ""内容"", ""正在"", ""学习""]",质量 不错 内容 正在 学习,"[""质"", ""量"", ""不"", ""错"", ""内"", ""容"", ""正"", ""学"", ""习""]",质 量 不 错 内 容 正 学 习,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""质量"", ""polarity"": 1}]"
发货速度超快平邮也都不要一周包装很用心蓝泉外文可信这书买的太划算了正版大爱啊以后还要来买。。,"[""发货"", ""速度"", ""超快"", ""平邮"", ""都"", ""不要"", ""一周"", ""包装"", ""很"", ""用心"", ""蓝泉"", ""外文"", ""可信"", ""这书"", ""买"", ""太"", ""划算"", ""正版"", ""大爱"", ""以后"", ""还要"", ""买""]",发货 速度 超快 平邮 都 不要 一周 包装 很 用心 蓝泉 外文 可信 这书 买 太 划算 正版 大爱 以后 还要 买,"[""发"", ""货"", ""速"", ""度"", ""超"", ""快"", ""平"", ""邮"", ""都"", ""不"", ""周"", ""包"", ""装"", ""很"", ""心"", ""蓝"", ""泉"", ""外"", ""文"", ""信"", ""书"", ""买"", ""太"", ""划"", ""算"", ""正"", ""版"", ""大"", ""爱"", ""后"", ""还"", ""买""]",发 货 速 度 超 快 平 邮 都 不 周 包 装 很 心 蓝 泉 外 文 信 书 买 太 划 算 正 版 大 爱 后 还 买,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""价格"", ""polarity"": 1}, {""aspect"": ""包装"", ""polarity"": 1}]"
剪标二手正品书价格实惠性价比高发货也快很不错哦,"[""剪标"", ""二手"", ""正品"", ""书"", ""价格"", ""实惠"", ""性价比"", ""高"", ""发货"", ""快"", ""很"", ""不错""]",剪标 二手 正品 书 价格 实惠 性价比 高 发货 快 很 不错,"[""剪"", ""标"", ""二"", ""手"", ""正"", ""品"", ""书"", ""价"", ""格"", ""实"", ""惠"", ""性"", ""价"", ""高"", ""发"", ""货"", ""快"", ""很"", ""不"", ""错""]",剪 标 二 手 正 品 书 价 格 实 惠 性 价 高 发 货 快 很 不 错,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
还不错哦。挺好的值得购买挺实惠的。。,"[""还"", ""不错"", ""挺"", ""好"", ""值得"", ""购买"", ""挺"", ""实惠""]",还 不错 挺 好 值得 购买 挺 实惠,"[""还"", ""不"", ""错"", ""挺"", ""好"", ""值"", ""购"", ""买"", ""挺"", ""实"", ""惠""]",还 不 错 挺 好 值 购 买 挺 实 惠,"[{""类别"": ""电脑/办公"", ""类别ID"": 1}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
亚马逊送货还不错书的印刷等等都还行但就一样实在让我忍受不了翻译实在太烂了简直是高中生英语水平完全不符合中文语法和阅读习惯明明是中文可看起来跟英文没什么区别生硬的直译让人看得一头雾水有些话得反复看好几遍才知道想说什么。这本书看起来简直像一场噩梦。如果能稍微看的懂一点英文的话强烈建议还是看英文版的吧。这本书买的很失望更后悔。,"[""亚马逊"", ""送货"", ""还"", ""不错"", ""书"", ""印刷"", ""都"", ""还行"", ""实在"", ""忍受"", ""不了"", ""翻译"", ""实在"", ""太烂"", ""简直"", ""高中生"", ""英语水平"", ""完全"", ""不"", ""符合"", ""中文"", ""语法"", ""阅读"", ""习惯"", ""明明"", ""中文"", ""看起来"", ""英文"", ""没什么"", ""区别"", ""生硬"", ""直译"", ""人"", ""看"", ""一头雾水"", ""话"", ""反复"", ""看"", ""好几遍"", ""才"", ""知道"", ""想"", ""说"", ""本书"", ""看起来"", ""简直"", ""一场"", ""噩梦"", ""稍微"", ""看"", ""懂"", ""一点"", ""英文"", ""强烈建议"", ""看"", ""英文版"", ""本书"", ""买"", ""很"", ""失望"", ""更"", ""后悔""]",亚马逊 送货 还 不错 书 印刷 都 还行 实在 忍受 不了 翻译 实在 太烂 简直 高中生 英语水平 完全 不 符合 中文 语法 阅读 习惯 明明 中文 看起来 英文 没什么 区别 生硬 直译 人 看 一头雾水 话 反复 看 好几遍 才 知道 想 说 本书 看起来 简直 一场 噩梦 稍微 看 懂 一点 英文 强烈建议 看 英文版 本书 买 很 失望 更 后悔,"[""亚"", ""马"", ""逊"", ""送"", ""货"", ""还"", ""不"", ""错"", ""书"", ""印"", ""刷"", ""都"", ""还"", ""行"", ""样"", ""实"", ""忍"", ""受"", ""不"", ""翻"", ""译"", ""实"", ""太"", ""烂"", ""简"", ""直"", ""高"", ""中"", ""生"", ""英"", ""语"", ""水"", ""平"", ""完"", ""全"", ""不"", ""符"", ""合"", ""中"", ""文"", ""语"", ""法"", ""阅"", ""读"", ""习"", ""惯"", ""明"", ""明"", ""中"", ""文"", ""看"", ""英"", ""文"", ""没"", ""什"", ""区"", ""生"", ""硬"", ""直"", ""译"", ""人"", ""看"", ""头"", ""雾"", ""水"", ""些"", ""话"", ""反"", ""复"", ""看"", ""好"", ""遍"", ""才"", ""知"", ""道"", ""想"", ""说"", ""什"", ""书"", ""看"", ""简"", ""直"", ""场"", ""噩"", ""梦"", ""果"", ""稍"", ""微"", ""看"", ""懂"", ""点"", ""英"", ""文"", ""话"", ""强"", ""烈"", ""建"", ""议"", ""还"", ""看"", ""英"", ""文"", ""版"", ""书"", ""买"", ""很"", ""失"", ""更"", ""后"", ""悔""]",亚 马 逊 送 货 还 不 错 书 印 刷 都 还 行 样 实 忍 受 不 翻 译 实 太 烂 简 直 高 中 生 英 语 水 平 完 全 不 符 合 中 文 语 法 阅 读 习 惯 明 明 中 文 看 英 文 没 什 区 生 硬 直 译 人 看 头 雾 水 些 话 反 复 看 好 遍 才 知 道 想 说 什 书 看 简 直 场 噩 梦 果 稍 微 看 懂 点 英 文 话 强 烈 建 议 还 看 英 文 版 书 买 很 失 更 后 悔,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""描述"", ""polarity"": 0}]"
冲泡速度很快最好需要另外垫一层滤纸否则咖啡味道偏淡。,"[""冲泡"", ""速度"", ""很快"", ""最好"", ""需要"", ""垫"", ""一层"", ""滤纸"", ""咖啡"", ""味道"", ""偏淡""]",冲泡 速度 很快 最好 需要 垫 一层 滤纸 咖啡 味道 偏淡,"[""泡"", ""速"", ""度"", ""很"", ""快"", ""最"", ""好"", ""需"", ""外"", ""垫"", ""层"", ""滤"", ""纸"", ""否"", ""咖"", ""啡"", ""味"", ""道"", ""偏"", ""淡""]",泡 速 度 很 快 最 好 需 外 垫 层 滤 纸 否 咖 啡 味 道 偏 淡,"[{""类别"": ""家用电器"", ""类别ID"": 4}]","[{""aspect"": ""物流"", ""polarity"": 1}]"
还没看书的质量很好。。。。。,"[""还"", ""没"", ""看书"", ""质量"", ""很"", ""好""]",还 没 看书 质量 很 好,"[""还"", ""没"", ""看"", ""书"", ""质"", ""量"", ""很"", ""好""]",还 没 看 书 质 量 很 好,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""质量"", ""polarity"": 1}]"
印刷精美资料翔实插图优美大涨知识,"[""印刷"", ""精美"", ""资料"", ""翔实"", ""插图"", ""优美"", ""大涨"", ""知识""]",印刷 精美 资料 翔实 插图 优美 大涨 知识,"[""印"", ""刷"", ""精"", ""美"", ""资"", ""料"", ""翔"", ""实"", ""插"", ""图"", ""优"", ""美"", ""大"", ""涨"", ""知"", ""识""]",印 刷 精 美 资 料 翔 实 插 图 优 美 大 涨 知 识,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""包装"", ""polarity"": 1}]"
很好很喜欢又便宜质量又好,"[""很"", ""好"", ""很"", ""喜欢"", ""便宜"", ""质量"", ""好""]",很 好 很 喜欢 便宜 质量 好,"[""很"", ""好"", ""很"", ""喜"", ""欢"", ""便"", ""宜"", ""质"", ""量"", ""好""]",很 好 很 喜 欢 便 宜 质 量 好,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
价格实惠安装也不难总体不错了。就是承重能力可能没有很强装一些小东西还是可以的装重重的牛津汉语词典可能就不行了。,"[""价格"", ""实惠"", ""安装"", ""不难"", ""总体"", ""不错"", ""承重"", ""能力"", ""可能"", ""没有"", ""很"", ""强装"", ""小东西"", ""装"", ""重重的"", ""牛津"", ""汉语"", ""词典"", ""可能"", ""不行""]",价格 实惠 安装 不难 总体 不错 承重 能力 可能 没有 很 强装 小东西 装 重重的 牛津 汉语 词典 可能 不行,"[""价"", ""格"", ""实"", ""惠"", ""安"", ""装"", ""不"", ""难"", ""总"", ""体"", ""不"", ""错"", ""承"", ""重"", ""力"", ""没"", ""很"", ""强"", ""装"", ""些"", ""小"", ""东"", ""西"", ""还"", ""装"", ""重"", ""重"", ""牛"", ""津"", ""汉"", ""语"", ""词"", ""典"", ""不"", ""行""]",价 格 实 惠 安 装 不 难 总 体 不 错 承 重 力 没 很 强 装 些 小 东 西 还 装 重 重 牛 津 汉 语 词 典 不 行,"[{""类别"": ""家具/家装/建材"", ""类别ID"": 8}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
平时临摹速写都比较烦闷结果我昨天拿这本书来看就想画了线条流畅 人物都是很自然舒服五官画的比较好看。不像其它书一样把人画得又丑又夸张。我是高2的学生是初学者。以上只是我观点如果有什么不对的话请谅解。,"[""平时"", ""临摹"", ""速写"", ""都"", ""比较"", ""烦闷"", ""昨天"", ""本书"", ""来看"", ""想"", ""画"", ""线条"", ""流畅"", ""人物"", ""都"", ""很"", ""自然"", ""舒服"", ""五官"", ""画"", ""比较"", ""好看"", ""不像"", ""书"", ""人画"", ""丑"", ""夸张"", ""高"", ""2"", ""学生"", ""初学者"", ""以上"", ""观点"", ""不"", ""请谅解""]",平时 临摹 速写 都 比较 烦闷 昨天 本书 来看 想 画 线条 流畅 人物 都 很 自然 舒服 五官 画 比较 好看 不像 书 人画 丑 夸张 高 2 学生 初学者 以上 观点 不 请谅解,"[""平"", ""时"", ""摹"", ""速"", ""写"", ""都"", ""烦"", ""闷"", ""结"", ""果"", ""昨"", ""天"", ""书"", ""看"", ""想"", ""画"", ""线"", ""条"", ""流"", ""畅"", ""人"", ""物"", ""都"", ""很"", ""然"", ""舒"", ""服"", ""五"", ""官"", ""画"", ""好"", ""看"", ""不"", ""书"", ""样"", ""人"", ""画"", ""丑"", ""夸"", ""张"", ""高"", ""2"", ""学"", ""生"", ""初"", ""学"", ""上"", ""只"", ""观"", ""点"", ""果"", ""什"", ""不"", ""话"", ""请"", ""谅"", ""解""]",平 时 摹 速 写 都 烦 闷 结 果 昨 天 书 看 想 画 线 条 流 畅 人 物 都 很 然 舒 服 五 官 画 好 看 不 书 样 人 画 丑 夸 张 高 2 学 生 初 学 上 只 观 点 果 什 不 话 请 谅 解,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""外观"", ""polarity"": 1}]"
接到此书时发现纸张很薄印刷粗糙字迹不清装订不牢郁闷,"[""接到"", ""此书"", ""时"", ""发现"", ""纸张"", ""很"", ""薄"", ""印刷"", ""粗糙"", ""字迹"", ""不清"", ""装订"", ""不牢"", ""郁闷""]",接到 此书 时 发现 纸张 很 薄 印刷 粗糙 字迹 不清 装订 不牢 郁闷,"[""接"", ""书"", ""时"", ""发"", ""现"", ""纸"", ""张"", ""很"", ""薄"", ""印"", ""刷"", ""粗"", ""糙"", ""字"", ""迹"", ""不"", ""清"", ""装"", ""订"", ""不"", ""牢"", ""郁"", ""闷""]",接 书 时 发 现 纸 张 很 薄 印 刷 粗 糙 字 迹 不 清 装 订 不 牢 郁 闷,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""做工"", ""polarity"": 0}]"
字是小 不过价格便宜,"[""字"", ""小"", ""价格便宜""]",字 小 价格便宜,"[""字"", ""小"", ""不"", ""价"", ""格"", ""便"", ""宜""]",字 小 不 价 格 便 宜,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
杯子好看又实用 并且是超市价格一般 支持卓越,"[""杯子"", ""好看"", ""实用"", ""超市"", ""价格"", ""支持"", ""卓越""]",杯子 好看 实用 超市 价格 支持 卓越,"[""杯"", ""子"", ""好"", ""看"", ""实"", ""超"", ""市"", ""价"", ""格"", ""般"", ""支"", ""持"", ""卓"", ""越""]",杯 子 好 看 实 超 市 价 格 般 支 持 卓 越,"[{""类别"": ""家居生活"", ""类别ID"": 5}]","[{""aspect"": ""外观"", ""polarity"": 1}]"
很好的一本书主要是便宜,"[""很"", ""好"", ""本书"", ""主要"", ""便宜""]",很 好 本书 主要 便宜,"[""很"", ""好"", ""书"", ""主"", ""便"", ""宜""]",很 好 书 主 便 宜,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""价格"", ""polarity"": 1}]"
恩。。。书还没有看。。。不过感觉还好。。。包装不错。。。发货速度很快。。。,"[""恩"", ""书"", ""还"", ""没有"", ""看"", ""感觉"", ""还好"", ""包装"", ""不错"", ""发货"", ""速度"", ""很快""]",恩 书 还 没有 看 感觉 还好 包装 不错 发货 速度 很快,"[""恩"", ""书"", ""还"", ""没"", ""看"", ""不"", ""感"", ""觉"", ""还"", ""好"", ""包"", ""装"", ""不"", ""错"", ""发"", ""货"", ""速"", ""度"", ""很"", ""快""]",恩 书 还 没 看 不 感 觉 还 好 包 装 不 错 发 货 速 度 很 快,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""物流"", ""polarity"": 1}, {""aspect"": ""包装"", ""polarity"": 1}]"
发货真快昨天下午订的现在就到货啦快递态度非常好我怀孕了行动不便他克服重重困难送到我办公室的赞一个 书籍的质量不错没有压坏及其他现象纸张很厚书籍也很厚....字体大小适中我出国的时候从国外带过几本原版书这本相比较来说真的算是精装 本啦。 还没开始阅读看了一下估计够我剩余孕期的时间来研究啦 读出来给宝宝做个胎教吧哈哈,"[""发货"", ""真"", ""快"", ""昨天下午"", ""订"", ""现在"", ""到货"", ""快递"", ""态度"", ""非常"", ""好"", ""怀孕"", ""行动不便"", ""克服"", ""重重困难"", ""送到"", ""办公室"", ""赞"", ""书籍"", ""质量"", ""不错"", ""没有"", ""压坏"", ""现象"", ""纸张"", ""很"", ""厚"", ""书籍"", ""很"", ""厚"", ""...."", ""字体大小"", ""适中"", ""出国"", ""国外"", ""带"", ""几本"", ""原版书"", ""本相"", ""比较"", ""来说"", ""真的"", ""算是"", ""精装"", ""还"", ""没"", ""阅读"", ""看"", ""一下"", ""估计"", ""够"", ""剩余"", ""孕期"", ""时间"", ""研究"", ""读出来"", ""宝宝"", ""做个"", ""胎教""]",发货 真 快 昨天下午 订 现在 到货 快递 态度 非常 好 怀孕 行动不便 克服 重重困难 送到 办公室 赞 书籍 质量 不错 没有 压坏 现象 纸张 很 厚 书籍 很 厚 .... 字体大小 适中 出国 国外 带 几本 原版书 本相 比较 来说 真的 算是 精装 还 没 阅读 看 一下 估计 够 剩余 孕期 时间 研究 读出来 宝宝 做个 胎教,"[""发"", ""货"", ""真"", ""快"", ""昨"", ""天"", ""下"", ""午"", ""订"", ""现"", ""货"", ""快"", ""递"", ""态"", ""度"", ""非"", ""常"", ""好"", ""怀"", ""孕"", ""行"", ""动"", ""不"", ""便"", ""克"", ""服"", ""重"", ""重"", ""困"", ""难"", ""送"", ""办"", ""公"", ""室"", ""赞"", ""书"", ""籍"", ""质"", ""量"", ""不"", ""错"", ""没"", ""压"", ""坏"", ""现"", ""象"", ""纸"", ""张"", ""很"", ""厚"", ""书"", ""籍"", ""很"", ""厚"", ""字"", ""体"", ""大"", ""小"", ""适"", ""中"", ""出"", ""国"", ""时"", ""候"", ""国"", ""外"", ""带"", ""原"", ""版"", ""书"", ""相"", ""说"", ""真"", ""算"", ""精"", ""装"", ""还"", ""没"", ""开"", ""始"", ""阅"", ""读"", ""看"", ""下"", ""估"", ""计"", ""够"", ""剩"", ""余"", ""孕"", ""期"", ""时"", ""间"", ""研"", ""究"", ""读"", ""出"", ""宝"", ""宝"", ""做"", ""胎"", ""教""]",发 货 真 快 昨 天 下 午 订 现 货 快 递 态 度 非 常 好 怀 孕 行 动 不 便 克 服 重 重 困 难 送 办 公 室 赞 书 籍 质 量 不 错 没 压 坏 现 象 纸 张 很 厚 书 籍 很 厚 字 体 大 小 适 中 出 国 时 候 国 外 带 原 版 书 相 说 真 算 精 装 还 没 开 始 阅 读 看 下 估 计 够 剩 余 孕 期 时 间 研 究 读 出 宝 宝 做 胎 教,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""质量"", ""polarity"": 1}]"
速度很快书的质量也不错,"[""速度"", ""很快"", ""书"", ""质量"", ""不错""]",速度 很快 书 质量 不错,"[""速"", ""度"", ""很"", ""快"", ""书"", ""质"", ""量"", ""不"", ""错""]",速 度 很 快 书 质 量 不 错,"[{""类别"": ""图书音像"", ""类别ID"": 0}]","[{""aspect"": ""物流"", ""polarity"": 1}]"
